langue,NbPostsTotal,%desPosts,NbPostsNONmedias,NbPostsMedias,PartMédiasNbPosts,Interactions,%desInteractions,InteractionsNONmedias,InteractionsMedias,PartMédiasInteractions,interactions/post,I/P-NONmedias,I/P-Medias
et,131,"0,014555571728413%",127,4,"3,05343511450382%",1221495,"0,0160196354914649%",1208996,12499,"1,02325429084851%","9324,3893129771","9519,65354330709","3124,75"
no,128,"0,0142222380247089%",122,6,"4,6875%",2137740,"0,0280359850638146%",2110814,26926,"1,25955448277153%","16701,09375","17301,7540983607","4487,66666666667"
ta,125,"0,0138889043210048%",125,0,0%,930436,"0,012202461383908%",930436,0,0%,"7443,488","7443,488",0
cy,115,"0,0127777919753244%",114,1,"0,869565217391304%",1478720,"0,0193930842074171%",1470754,7966,"0,5387091538628%","12858,4347826087","12901,350877193",7966
sv,106,"0,0117777908642121%",102,4,"3,77358490566038%",762699,"0,0100026279024513%",728371,34328,"4,50085813669613%","7195,27358490566","7140,89215686275",8582
sl,105,"0,011666679629644%",105,0,0%,454485,"0,00596046978197899%",454485,0,0%,"4328,42857142857","4328,42857142857",0
km,98,"0,0108889009876678%",98,0,0%,1572999,"0,0206295323422845%",1572999,0,0%,"16051,0102040816","16051,0102040816",0
sq,97,"0,0107777897530997%",97,0,0%,423181,"0,00554992477817233%",423181,0,0%,"4362,69072164949","4362,69072164949",0
cs,96,"0,0106666785185317%",96,0,0%,311035,"0,00407915490860609%",311035,0,0%,"3239,94791666667","3239,94791666667",0
ca,89,"0,00988889987655542%",89,0,0%,988790,"0,0129677611268205%",988790,0,0%,11110,11110,0
hr,77,"0,00855556506173896%",76,1,"1,2987012987013%",372864,"0,00489002850432427%",363934,8930,"2,39497511156883%","4842,38961038961","4788,6052631579",8930
mk,71,"0,00788889765433073%",71,0,0%,333590,"0,00437495872156479%",333590,0,0%,"4698,45070422535","4698,45070422535",0
lt,61,"0,00677778530865034%",61,0,0%,392308,"0,00514503224359135%",392308,0,0%,"6431,27868852459","6431,27868852459",0
sk,60,"0,0066666740740823%",59,1,"1,66666666666667%",635616,"0,00833596259709861%",633853,1763,"0,277368725771535%","10593,6","10743,2711864407",1763
ja,51,"0,00566667296296996%",51,0,0%,196839,"0,00258149974457895%",196839,0,0%,"3859,58823529412","3859,58823529412",0
zh,44,"0,00488889432099369%",44,0,0%,163764,"0,00214772846931364%",163764,0,0%,"3721,90909090909","3721,90909090909",0
hu,36,"0,00400000444444938%",36,0,0%,205083,"0,00268961797264508%",205083,0,0%,"5696,75","5696,75",0
ms,32,"0,00355555950617723%",32,0,0%,308941,"0,00405169256392262%",308941,0,0%,"9654,40625","9654,40625",0
el,32,"0,00355555950617723%",32,0,0%,164883,"0,00216240390565595%",164883,0,0%,"5152,59375","5152,59375",0
mg,26,"0,002888892098769%",26,0,0%,92764,"0,00121657924652189%",92764,0,0%,"3567,84615384615","3567,84615384615",0
mt,19,"0,00211111345679273%",19,0,0%,102818,"0,00134843522238031%",102818,0,0%,"5411,47368421053","5411,47368421053",0
is,18,"0,00200000222222469%",18,0,0%,53403,"0,00070036847809504%",53403,0,0%,"2966,83333333333","2966,83333333333",0
lv,15,"0,00166666851852058%",15,0,0%,54601,"0,000716079981882428%",54601,0,0%,"3640,06666666667","3640,06666666667",0
bg,13,"0,0014444460493845%",13,0,0%,151159,"0,00198241669532364%",151159,0,0%,"11627,6153846154","11627,6153846154",0
uk,12,"0,00133333481481646%",12,0,0%,92300,"0,00121049398962928%",92300,0,0%,"7691,66666666667","7691,66666666667",0
eo,10,"0,00111111234568038%",10,0,0%,94410,"0,00123816617075731%",94410,0,0%,9441,9441,0
gl,9,"0,00100000111111235%",9,0,0%,75735,"0,00099324769560751%",75735,0,0%,8415,8415,0
mr,9,"0,00100000111111235%",9,0,0%,41633,"0,000546007543556182%",41633,0,0%,"4625,88888888889","4625,88888888889",0
mn,7,"0,000777778641976269%",7,0,0%,24190,"0,000317246474638485%",24190,0,0%,"3455,71428571429","3455,71428571429",0
ga,6,"0,00066666740740823%",6,0,0%,114919,"0,00150713714836627%",114919,0,0%,"19153,1666666667","19153,1666666667",0
he,5,"0,000555556172840192%",5,0,0%,17930,"0,000235147965699381%",17930,0,0%,3586,3586,0
eu,4,"0,000444444938272154%",4,0,0%,27143,"0,00035597441343995%",27143,0,0%,"6785,75","6785,75",0
bs,4,"0,000444444938272154%",4,0,0%,11933,"0,000156498643317943%",11933,0,0%,"2983,25","2983,25",0
lo,4,"0,000444444938272154%",4,0,0%,8228,"0,000107908391621557%",8228,0,0%,2057,2057,0
te,4,"0,000444444938272154%",4,0,0%,7724,"0,000101298543617514%",7724,0,0%,1931,1931,0
lb,3,"0,000333333703704115%",3,0,0%,12391,"0,000162505211543839%",12391,0,0%,"4130,33333333333","4130,33333333333",0
la,3,"0,000333333703704115%",2,1,"33,3333333333333%",11680,"0,000153180604538136%",9353,2327,"19,9229452054795%","3893,33333333333","4676,5",2327
qu,3,"0,000333333703704115%",3,0,0%,7858,"0,000103055923840811%",7858,0,0%,"2619,33333333333","2619,33333333333",0
xh,2,"0,000222222469136077%",2,0,0%,29167,"0,000382518723678408%",29167,0,0%,"14583,5","14583,5",0
az,2,"0,000222222469136077%",2,0,0%,6532,"0,000085665728496841%",6532,0,0%,3266,3266,0
hy,2,"0,000222222469136077%",2,0,0%,5893,"0,0000772853854917153%",5893,0,0%,"2946,5","2946,5",0
kn,2,"0,000222222469136077%",2,0,0%,3875,"0,0000508197639199723%",3875,0,0%,"1937,5","1937,5",0
ka,1,"0,000111111234568038%",1,0,0%,3163,"0,0000414820421364832%",3163,0,0%,3163,3163,0
rw,1,"0,000111111234568038%",1,0,0%,1828,"0,0000239738137924411%",1828,0,0%,1828,1828,0
Langues non-officielles,93661,"10,406789340877%",93595,66,"0,0704668965738141%",767655353,"10,0676293706743%",767342309,313044,"0,0407792375545384%","8196,1046006342","8198,53954805278","4743,09090909091"
Ensemble,899999,100%,820013,79986,"8,88734320815912%",7624986228,100%,7221503000,403483228,"5,29159287551699%","8472,2163335737","8806,57135923455","5044,42312404671"
