fbID,page,code,af,am,ar,az,bg,bn,bs,ca,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,ga,gl,gu,he,hi,hr,ht,hu,hy,id,is,it,ja,ka,km,kn,ko,la,lb,lt,lv,mg,mk,ml,mn,mr,ms,mt,ne,nl,no,pa,pl,ps,pt,qu,ro,ru,rw,si,sk,sl,so,sq,sr,sv,sw,ta,te,th,tl,tr,uk,ur,vi,xh,zh,inconnue,max,maj
704872976211573,Rising Back Again,RisingBackAgain,0,0,0,0,0,0,0,0,0,0,1,0,0,4495,0,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,4495,en
166259473465593,ConneriesQc,conneriesqc,2,0,0,0,0,0,0,2,0,3,1,2,0,145,0,2,1,0,0,4,4349,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,400,4349,fr
498655083561490,NFL Memes,nflmemes4you,0,0,0,0,0,0,0,0,0,2,2,0,0,4342,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1209,4342,en
56843501703,Moms United - Moms.com,OfficialMoms,0,0,0,0,0,0,0,0,0,0,0,0,0,4261,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,63,4261,en
669722073120973,Quotes Made with Love,QuotesMadeWithLove,0,0,0,0,0,0,0,0,0,3,0,2,0,4238,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,4238,en
30843680008,blogTO,blogto,0,0,0,0,0,0,0,0,0,0,1,0,0,4054,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4054,en
555765784461423,TheGamer,thegamercom,2,0,0,0,0,0,0,1,1,0,6,5,0,4025,0,5,4,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,748,4025,en
1246259845471061,NTD Canada,NTDTelevisionCA,0,0,0,0,0,0,0,0,0,0,2,1,0,4006,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,120,4006,en
1693504040927699,Ontario Proud,OntarioProud,0,0,0,0,0,0,0,0,0,0,1,0,0,3889,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3889,en
258519414170130,Bhagwad Geeta - Lord Krishna,TheGita,0,0,0,0,0,0,0,0,0,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,0,3741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3741,hi
295955063764301,Holy Mary,holymary.amen,0,0,0,0,0,0,0,0,0,0,0,0,0,3522,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,498,3522,en
1534814760124292,Ismaili Heritage,IsmailiHeritage,0,0,0,0,0,0,0,0,0,0,0,0,0,3502,0,0,0,0,0,0,30,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3502,en
135226476595920,BabyGaga,babygaga,0,0,0,0,0,0,0,0,0,1,6,4,0,3453,0,2,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,87,3453,en
425958360788038,Silly Hippy,sillyhippylol,0,0,0,0,0,0,0,1,0,3,2,3,0,3386,0,10,0,0,0,0,14,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,1,0,9,0,0,2,0,0,3,4,0,8,0,0,0,0,0,0,2,0,0,0,1,0,0,1211,3386,en
