fbID,page,code,nb,media
231459087263835,The Best Ideas for Kids,thebestideasforkids,1395,
101033613288663,QC Lifestyle,qc.lfstl,1380,
135622170119,"Arts, Artists, Artwork",artsartistsartwork,1375,
187409728089635,The Journey Home,WillyNyweningAuthor,1361,
5661704203,Conservative Party of Canada - Parti conservateur du Canada,cpcpcc,1357,
7078490926,Global Edmonton,GlobalEdmonton,1354,media
220499648378668,RxLeaf,RxleafMD,1351,
436240976441232,One Little Project,onelittleproject,1339,
356312257818289,Cat & Nat,catandnat,1296,
527194514089238,La parfaite maman cinglante,laparfaitemamancinglante,1295,
718044328285323,Captain Marufur Rahman Raju. Retd,CaptainMarufRaju,1294,
1773237722991515,Anxiety,AnxietyProblem,1292,
1009759975762696,Unofficial PMO India,AnuPMOIndia,1289,
944819212239364,Alberta Proud,ABProud.org,1284,
29958461768,Toronto Raptors,TorontoRaptors,1272,
275857009103602,Sebastián Villalobos,VillalobosSebas,1270,
1353600684704845,Super Remedios,superremedios,1260,
423432611037938,Trucs & Bricolages,TrucsBrico,1257,
259925030792801,Tabarnak,TabarnakDeTabarnak,1249,
29829307640,Jason Kenney,kenneyjasont,1248,
67895825138,Native Americans,Native.Americans.Page,1237,
1000585973289371,Guru Ghantal,TheGuruGhantal,1216,
139444609565213,البابا فرنسيس,PopeFrancis.AR,1202,
213247418834066,Medico Loco,MedicoLoc0,1191,
255064584850936,OverMeme - Overwatch Memes,overmemes,1190,
274731445423,MONTREALITY,Montreality,1168,
162731380454099,Anitta,AnittaOficial,1139,
767498399931593,Reshareworthy,reshareworthy,1120,
100510906761717,Les Mots Positifs,lesmotspositifs,1119,
235665567383436,Our Earth,OurEarth.org,1117,
1484717795086771,Simplement  Ensemble,Mayerr0,1114,
314129392118845,Avengers: Infinity War Fans,AvengersInfinityWarSaga,1108,
278837732170258,Truth Teller,TruthTeller29,1105,
405073276659828,Bullet and Jeep Lovers,bulletandjeeploverz,1101,
32204506174,CityNews Toronto,citynewstoronto,1096,media
550309875102761,Welcome QATAR,WelcomeQatarr,1085,
168295667704,Game Rant,GameRant,1084,
1389402008000409,Metaspoon,meta.spoon,1082,
1411142005801468,The Recipe Rebel,thereciperebel,1069,
215779042538082,Savage AF,therealsavageaf,1048,
439160722804966,This Page Will Blow Your Mind,ThisPageWillBlowYourMind,1039,
1596519600605857,Mundo Novedoso,mundonovedoso,1026,
1671582506432225,Yo Soy Emprendedor,YoSoyEmprendedorOficial,1024,
32705316158,Nicky Jam,NickyJamPR,1023,
409664515855104,Life Of A Server,LifeOfAServer ,1023,
377628862262451,Veux-Tu Rire?,VeuxTuRire,1011,
467107220019064,Franck Nicolas,francknicolasofficiel,1000,
2190390774547618,AJ’s and ME,eyjeysboys,999,
900364980094945,Tambayan Ni BERTO Pilipinas,tambayannibertopilipinas,997,
327598424036545,Mothers,Motherhood.org,995,
211092009082,Cowboy Classifieds Inc.,cowboyclassifieds,994,
1118087851586836,Crafty,diplycrafty,989,
